Posting Date;Work Center;Machine;Group;Shift;Prod Order;Confirm Qty;Scrab Qty;Confirm KG;Act Confirm KG;Scrab KG;Scrab Description;Stop Time;Break Time Description;Start.Date;Start.Time;Finis.Time;Finis.Date
2025-08-01;C_FL101;1.0;A;2.0;621100717251.0;0;12;0.0;-19.788;19.788;PRINT BLOBOR;0;;2025-08-01;00:00:00;00:00:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717251.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-01;20:00:00;20:16:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717251.0;0;0;0.0;0.0;0.0;;20;OUTSIDE FACTOR>OTHERS;2025-08-01;20:30:00;20:50:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717251.0;690;8;1137.81;1124.618;13.192;PRINT BLOBOR;80;;2025-08-01;20:00:00;21:20:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717927.0;0;15;0.0;-16.89;16.89;SLOTER LARI;0;;2025-08-01;00:00:00;00:00:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717927.0;0;0;0.0;0.0;0.0;;22;SHEET NYANGKUT/ MACET;2025-08-01;22:00:00;22:22:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717927.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-01;21:20:00;21:36:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717927.0;1660;155;1869.16;1694.63;174.53;SLOTER LARI;100;;2025-08-01;21:20:00;23:00:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717927.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2025-08-01;22:55:00;23:00:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100717927.0;0;0;0.0;0.0;0.0;;10;OUTSIDE FACTOR>OTHERS;2025-08-01;22:40:00;22:50:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100718407.0;0;40;0.0;-21.04;21.04;SLOTER LARI;0;;2025-08-01;00:00:00;00:00:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100718407.0;12000;0;6312.0;6312.0;0.0;;300;;2025-08-01;15:00:00;20:00:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100718407.0;0;0;0.0;0.0;0.0;;50;FEEDER UNIT TROUBLE MEKANIK;2025-08-01;17:00:00;17:50:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100718407.0;0;0;0.0;0.0;0.0;;20;GANTI/PASANG PISAU SLOTTER;2025-08-01;16:00:00;16:20:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100718407.0;0;40;0.0;-21.04;21.04;PRINT BLOBOR;0;;2025-08-01;00:00:00;00:00:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100718407.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-01;15:00:00;15:16:00;2025-08-01
2025-08-01;C_FL101;1.0;A;2.0;621100720255.0;0;0;0.0;0.0;0.0;;480;;2025-07-31;15:00:00;23:00:00;2025-07-31
2025-08-01;C_FL101;1.0;A;2.0;621100720255.0;0;0;0.0;0.0;0.0;;480;TIDAK ADA SHIFT;2025-07-31;15:00:00;23:00:00;2025-07-31
2025-08-01;C_FL101;;A;;;14350;270;9318.97;9052.49;266.48;;1615;;;;;
2025-08-01;C_FL101;1.0;B;1.0;621100720305.0;0;31;0.0;-14.756;14.756;SLOTER LARI;0;;2025-08-01;00:00:00;00:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720305.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-01;09:00:00;09:16:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720305.0;0;0;0.0;0.0;0.0;;15;ADJUST TINTA;2025-08-01;10:00:00;10:15:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720305.0;0;0;0.0;0.0;0.0;;15;LAP KLISE (Plate);2025-08-01;11:00:00;11:15:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720305.0;3000;69;1428.0;1395.156;32.844;CREASING PECAH;240;;2025-08-01;09:00:00;13:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720305.0;0;0;0.0;0.0;0.0;;90;SHOLAT JUMAT;2025-08-01;11:30:00;13:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720510.0;0;13;0.0;-7.956;7.956;SLOTER LARI;0;;2025-08-01;00:00:00;00:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720510.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-01;13:00:00;13:16:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720510.0;0;0;0.0;0.0;0.0;;15;LAP KLISE (Plate);2025-08-01;14:00:00;14:15:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720510.0;0;0;0.0;0.0;0.0;;20;ADJUST TINTA;2025-08-01;14:30:00;14:50:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720510.0;3100;187;1897.2;1782.756;114.444;CREASING PECAH;120;;2025-08-01;13:00:00;15:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100720510.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2025-08-01;14:55:00;15:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621200067785.0;0;11;0.0;-8.096;8.096;PRINT LARI;0;;2025-08-01;00:00:00;00:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621200067785.0;245;4;180.32;177.376;2.944;SLOTER LARI;40;;2025-08-01;07:00:00;07:40:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100719153.0;0;28;0.0;-20.608;20.608;PRINT BLOBOR;0;;2025-08-01;00:00:00;00:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100719153.0;4400;152;3238.4;3126.528;111.872;PRINT BLOBOR;80;;2025-08-01;07:40:00;09:00:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100719153.0;0;0;0.0;0.0;0.0;;20;LAP KLISE (Plate);2025-08-01;08:30:00;08:50:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100719153.0;0;0;0.0;0.0;0.0;;16;ADJUST TINTA;2025-08-01;08:00:00;08:16:00;2025-08-01
2025-08-01;C_FL101;1.0;B;1.0;621100719153.0;0;0;0.0;0.0;0.0;;14;SETTING TIME;2025-08-01;07:40:00;07:54:00;2025-08-01
2025-08-01;C_FL101;;B;;;10745;495;6743.92;6430.4;313.52;;722;;;;;
2025-08-01;C_FL101;1.0;C;3.0;621200067814.0;0;0;0.0;0.0;0.0;;35;OUTSIDE FACTOR>OTHERS;2025-08-01;22:00:00;22:35:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621200067814.0;600;95;873.0;734.775;138.225;SLOTER LARI;40;;2025-08-01;23:00:00;23:40:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621200067814.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-01;23:00:00;23:16:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100714367.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-01;00:40:00;00:56:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100714367.0;0;0;0.0;0.0;0.0;;19;SHEET NYANGKUT/ MACET;2025-08-01;01:00:00;01:19:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100714367.0;3050;45;1204.75;1186.975;17.775;CREASING PECAH;95;;2025-08-01;00:40:00;02:15:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100714367.0;0;0;0.0;0.0;0.0;;15;LAP KLISE (Plate);2025-08-01;02:00:00;02:15:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621200067814.0;0;5;0.0;-7.275;7.275;SLOTER LARI;0;;2025-08-02;00:00:00;00:00:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100718771.0;0;0;0.0;0.0;0.0;;20;SETTING TIME;2025-08-01;23:40:00;00:00:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100718771.0;0;0;0.0;0.0;0.0;;10;OUTSIDE FACTOR>OTHERS;2025-08-02;00:20:00;00:30:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100718771.0;1570;0;466.29;466.29;0.0;;50;;2025-08-01;23:40:00;00:30:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100718771.0;0;0;0.0;0.0;0.0;;16;SHEET NYANGKUT/ MACET;2025-08-02;00:00:00;00:16:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100718771.0;0;10;0.0;-2.97;2.97;PRINT LARI;0;;2025-08-02;00:00:00;00:00:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100720227.0;0;25;0.0;-15.075;15.075;PRINT BLOBOR;0;;2025-08-02;00:00:00;00:00:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100720227.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-02;00:30:00;00:46:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100720227.0;0;0;0.0;0.0;0.0;;50;FEEDER UNIT TROUBLE MEKANIK;2025-08-02;02:00:00;02:50:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100720227.0;7100;0;4281.3;4281.3;0.0;;390;;2025-08-02;00:30:00;07:00:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100720227.0;0;0;0.0;0.0;0.0;;77;FEEDER UNIT TROUBLE MEKANIK;2025-08-02;05:43:00;07:00:00;2025-08-02
2025-08-01;C_FL101;1.0;C;3.0;621100720362.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-07-31;23:00:00;23:16:00;2025-07-31
2025-08-01;C_FL101;1.0;C;3.0;621100718436.0;0;0;0.0;0.0;0.0;;15;SETTING TIME;2025-08-01;02:15:00;02:30:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100718436.0;3220;82;1941.66;1892.214;49.446;SLOTER LARI;165;;2025-08-01;02:15:00;05:00:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100718436.0;0;0;0.0;0.0;0.0;;40;GANTI/PASANG PISAU SLOTTER;2025-08-01;03:00:00;03:40:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100720255.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-08-01;05:00:00;05:16:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100720255.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2025-08-01;06:55:00;07:00:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100720255.0;1130;72;477.99;447.534;30.456;PRINT BLOBOR;120;;2025-08-01;05:00:00;07:00:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100720255.0;0;0;0.0;0.0;0.0;;5;SHEET NYANGKUT/ MACET;2025-08-01;06:45:00;06:50:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100720255.0;0;0;0.0;0.0;0.0;;30;OUTSIDE FACTOR>OTHERS;2025-08-01;06:00:00;06:30:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100720362.0;0;0;0.0;0.0;0.0;;16;SHEET NYANGKUT/ MACET;2025-08-01;00:00:00;00:16:00;2025-08-01
2025-08-01;C_FL101;1.0;C;3.0;621100720362.0;6850;0;1287.8;1287.8;0.0;;100;;2025-07-31;23:00:00;00:40:00;2025-08-01
2025-08-01;C_FL101;;C;;;23520;334;10532.79;10271.568;261.222;;1393;;;;;
2025-08-01;C_FL101;;;;;48615;1099;26595.68;25754.458;841.222;;3730;;;;;
