Posting Date;Work Center;Machine;Group;Shift;Prod Order;Confirm Qty;Scrab Qty;Confirm KG;Act Confirm KG;Scrab KG;Scrab Description;Stop Time;Break Time Description;Start.Date;Start.Time;Finis.Time;Finis.Date
2025-04-01;C_FL101;1.0;A;1.0;621100700629.0;0;0;0.0;0.0;0.0;;480;OFF TIME LIBUR NASIONAL;2025-04-01;07:00:00;15:00:00;2025-04-01
2025-04-01;C_FL101;1.0;A;1.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-01;07:00:00;15:00:00;2025-04-01
2025-04-01;C_FL101;;A;;;0;0;0.0;0.0;0.0;;960;;;;;
2025-04-01;C_FL101;1.0;B;3.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-03-31;23:00:00;07:00:00;2025-04-01
2025-04-01;C_FL101;1.0;B;3.0;621100700629.0;0;0;0.0;0.0;0.0;;480;OFF TIME LIBUR NASIONAL;2025-03-31;23:00:00;07:00:00;2025-04-01
2025-04-01;C_FL101;1.0;B;3.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-01;23:00:00;07:00:00;2025-04-02
2025-04-01;C_FL101;1.0;B;3.0;621100700629.0;0;0;0.0;0.0;0.0;;480;OFF TIME LIBUR NASIONAL;2025-04-01;23:00:00;07:00:00;2025-04-02
2025-04-01;C_FL101;;B;;;0;0;0.0;0.0;0.0;;1920;;;;;
2025-04-01;C_FL101;1.0;C;2.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-01;15:00:00;23:00:00;2025-04-01
2025-04-01;C_FL101;1.0;C;2.0;621100700629.0;0;0;0.0;0.0;0.0;;480;OFF TIME LIBUR NASIONAL;2025-04-01;15:00:00;23:00:00;2025-04-01
2025-04-01;C_FL101;1.0;C;2.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-01;15:00:00;23:00:00;2025-04-01
2025-04-01;C_FL101;1.0;C;2.0;621100700629.0;0;0;0.0;0.0;0.0;;480;OFF TIME LIBUR NASIONAL;2025-04-01;15:00:00;23:00:00;2025-04-01
2025-04-01;C_FL101;;C;;;0;0;0.0;0.0;0.0;;1920;;;;;
2025-04-01;C_FL101;;;;;0;0;0.0;0.0;0.0;;4800;;;;;
2025-04-02;C_FL101;1.0;A;1.0;621100700629.0;0;0;0.0;0.0;0.0;;480;TIDAK ADA SHIFT;2025-04-02;07:00:00;15:00:00;2025-04-02
2025-04-02;C_FL101;1.0;A;1.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-02;07:00:00;15:00:00;2025-04-02
2025-04-02;C_FL101;;A;;;0;0;0.0;0.0;0.0;;960;;;;;
2025-04-02;C_FL101;1.0;B;3.0;621100700629.0;0;0;0.0;0.0;0.0;;480;TIDAK ADA SHIFT;2025-04-02;23:00:00;07:00:00;2025-04-03
2025-04-02;C_FL101;1.0;B;3.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-02;23:00:00;07:00:00;2025-04-03
2025-04-02;C_FL101;;B;;;0;0;0.0;0.0;0.0;;960;;;;;
2025-04-02;C_FL101;1.0;C;2.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-02;15:00:00;23:00:00;2025-04-02
2025-04-02;C_FL101;1.0;C;2.0;621100700629.0;0;0;0.0;0.0;0.0;;480;TIDAK ADA SHIFT;2025-04-02;15:00:00;23:00:00;2025-04-02
2025-04-02;C_FL101;;C;;;0;0;0.0;0.0;0.0;;960;;;;;
2025-04-02;C_FL101;;;;;0;0;0.0;0.0;0.0;;2880;;;;;
2025-04-03;C_FL101;1.0;A;1.0;621100700629.0;0;0;0.0;0.0;0.0;;480;TIDAK ADA SHIFT;2025-04-03;07:00:00;15:00:00;2025-04-03
2025-04-03;C_FL101;1.0;A;1.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-03;07:00:00;15:00:00;2025-04-03
2025-04-03;C_FL101;;A;;;0;0;0.0;0.0;0.0;;960;;;;;
2025-04-03;C_FL101;1.0;B;3.0;621100700035.0;0;0;0.0;0.0;0.0;;480;;2025-04-03;23:00:00;07:00:00;2025-04-04
2025-04-03;C_FL101;1.0;B;3.0;621100700035.0;0;0;0.0;0.0;0.0;;480;SLOTTER UNIT TROUBLE MEKANIK;2025-04-03;23:00:00;07:00:00;2025-04-04
2025-04-03;C_FL101;;B;;;0;0;0.0;0.0;0.0;;960;;;;;
2025-04-03;C_FL101;1.0;C;2.0;621100700629.0;0;0;0.0;0.0;0.0;;480;;2025-04-03;15:00:00;23:00:00;2025-04-03
2025-04-03;C_FL101;1.0;C;2.0;621100700629.0;0;0;0.0;0.0;0.0;;480;TIDAK ADA SHIFT;2025-04-03;15:00:00;23:00:00;2025-04-03
2025-04-03;C_FL101;;C;;;0;0;0.0;0.0;0.0;;960;;;;;
2025-04-03;C_FL101;;;;;0;0;0.0;0.0;0.0;;2880;;;;;
