Posting Date;Work Center;Machine;Group;Shift;Prod Order;Confirm Qty;Scrab Qty;Confirm KG;Act Confirm KG;Scrab KG;Scrab Description;Stop Time;Break Time Description;Start.Date;Start.Time;Finis.Time;Finis.Date
2024-12-01;C_FL101;1.0;A;3.0;621100679435.0;0;8;0.0;-4.208;4.208;PRINT BLOBOR;0;;2024-12-02;00:00:00;00:00:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100679435.0;0;0;0.0;0.0;0.0;;11;LAP KLISE (Plate);2024-12-02;05:00:00;05:11:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100679435.0;3500;0;1841.0;1841.0;0.0;;240;;2024-12-02;03:00:00;07:00:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100679435.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2024-12-02;06:55:00;07:00:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100679435.0;0;0;0.0;0.0;0.0;;11;ADJUST TINTA;2024-12-02;04:00:00;04:11:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100679435.0;0;0;0.0;0.0;0.0;;24;SETTING TIME;2024-12-02;03:00:00;03:24:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100677374.0;0;0;0.0;0.0;0.0;;19;SETTING TIME;2024-12-01;23:00:00;23:19:00;2024-12-01
2024-12-01;C_FL101;1.0;A;3.0;621100677374.0;3000;0;564.0;564.0;0.0;;70;;2024-12-01;23:00:00;00:10:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100677374.0;0;0;0.0;0.0;0.0;;10;SHEET NYANGKUT/ MACET;2024-12-02;00:00:00;00:10:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100677386.0;2100;40;394.8;387.28;7.52;PRINTING BOTAK;70;;2024-12-02;00:10:00;01:20:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100677386.0;0;0;0.0;0.0;0.0;;15;SHEET NYANGKUT/ MACET;2024-12-02;02:00:00;02:15:00;2024-12-02
2024-12-01;C_FL101;1.0;A;3.0;621100677392.0;8300;20;1560.4;1556.64;3.76;PRINTING BOTAK;100;;2024-12-02;01:20:00;03:00:00;2024-12-02
2024-12-01;C_FL101;;A;;;16900;68;4360.2;4344.712;15.488;;575;;;;;
2024-12-01;C_FL101;1.0;B;3.0;621100676154.0;1362;0;716.412;716.412;0.0;;50;;2024-11-30;23:00:00;23:50:00;2024-11-30
2024-12-01;C_FL101;1.0;B;3.0;621100676154.0;0;0;0.0;0.0;0.0;;10;REPAIR RINGAN BY OPERATOR;2024-11-30;23:20:00;23:30:00;2024-11-30
2024-12-01;C_FL101;1.0;B;3.0;621100676154.0;0;0;0.0;0.0;0.0;;19;SETTING TIME;2024-11-30;23:00:00;23:19:00;2024-11-30
2024-12-01;C_FL101;1.0;B;3.0;621100676154.0;0;7;0.0;-3.682;3.682;PRINT BLOBOR;0;;2024-12-01;00:00:00;00:00:00;2024-12-01
2024-12-01;C_FL101;1.0;B;2.0;621100676670.0;0;17;0.0;-7.225;7.225;SLOTER LARI;0;;2024-12-01;00:00:00;00:00:00;2024-12-01
2024-12-01;C_FL101;1.0;B;2.0;621100676670.0;14600;73;6205.0;6173.975;31.025;SLOTER LARI;324;;2024-12-01;15:00:00;20:24:00;2024-12-01
2024-12-01;C_FL101;1.0;B;2.0;621100676670.0;0;0;0.0;0.0;0.0;;19;REPAIR RINGAN BY OPERATOR;2024-12-01;17:00:00;17:19:00;2024-12-01
2024-12-01;C_FL101;1.0;B;2.0;621100676670.0;0;0;0.0;0.0;0.0;;24;SETTING TIME;2024-12-01;15:00:00;15:24:00;2024-12-01
2024-12-01;C_FL101;1.0;B;3.0;621100678354.0;0;10;0.0;-5.08;5.08;SLOTER LARI;0;;2024-12-01;00:00:00;00:00:00;2024-12-01
2024-12-01;C_FL101;1.0;B;3.0;621100678354.0;0;0;0.0;0.0;0.0;;20;SETTING TIME;2024-12-01;02:19:00;02:39:00;2024-12-01
