Posting Date;Work Center;Machine;Group;Shift;Prod Order;Confirm Qty;Scrab Qty;Confirm KG;Act Confirm KG;Scrab KG;Scrab Description;Stop Time;Break Time Description;Start.Date;Start.Time;Finis.Time;Finis.Date
2025-01-01;C_FL101;1.0;A;2.0;621100679900.0;0;0;0.0;0.0;0.0;;480;OFF TIME LIBUR NASIONAL;2025-01-01;15:00:00;23:00:00;2025-01-01
2025-01-01;C_FL101;1.0;A;2.0;621100679900.0;0;0;0.0;0.0;0.0;;480;;2025-01-01;15:00:00;23:00:00;2025-01-01
2025-01-01;C_FL101;;A;;;0;0;0.0;0.0;0.0;;960;;;;;
2025-01-01;C_FL101;1.0;B;1.0;621100674525.0;0;0;0.0;0.0;0.0;;24;SETTING TIME;2024-12-31;07:00:00;07:24:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100674525.0;0;0;0.0;0.0;0.0;;5;REPAIR RINGAN BY OPERATOR;2024-12-31;07:30:00;07:35:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100674525.0;1700;112;1251.2;1168.768;82.432;PRINTING BOTAK;38;;2024-12-31;07:00:00;07:38:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100679900.0;0;0;0.0;0.0;0.0;;33;SETTING TIME;2024-12-31;09:01:00;09:34:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100679900.0;0;0;0.0;0.0;0.0;;240;LISTRIK PADAM PLN/DSS/COGEN;2024-12-31;11:00:00;15:00:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100679900.0;6000;150;1128.0;1099.8;28.2;SLOTER LARI;359;;2024-12-31;09:01:00;15:00:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100679900.0;0;0;0.0;0.0;0.0;;15;SHEET NYANGKUT/ MACET;2024-12-31;10:00:00;10:15:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100684012.0;0;0;0.0;0.0;0.0;;21;SETTING TIME;2024-12-31;07:38:00;07:59:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100684012.0;0;0;0.0;0.0;0.0;;17;LAP KLISE (Plate);2024-12-31;08:00:00;08:17:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100684012.0;3200;5;1939.2;1936.17;3.03;SLOTER LARI;83;;2024-12-31;07:38:00;09:01:00;2024-12-31
2025-01-01;C_FL101;1.0;B;1.0;621100679900.0;0;0;0.0;0.0;0.0;;480;;2025-01-01;07:00:00;15:00:00;2025-01-01
2025-01-01;C_FL101;1.0;B;1.0;621100679900.0;0;0;0.0;0.0;0.0;;480;OFF TIME LIBUR NASIONAL;2025-01-01;07:00:00;15:00:00;2025-01-01
2025-01-01;C_FL101;;B;;;10900;267;4318.4;4204.738;113.662;;1795;;;;;
2025-01-01;C_FL101;1.0;C;3.0;621100679900.0;0;0;0.0;0.0;0.0;;480;;2024-12-31;23:00:00;07:00:00;2025-01-01
2025-01-01;C_FL101;1.0;C;3.0;621100679900.0;0;0;0.0;0.0;0.0;;480;TIDAK ADA SHIFT;2024-12-31;23:00:00;07:00:00;2025-01-01
2025-01-01;C_FL101;1.0;C;3.0;621100679900.0;0;0;0.0;0.0;0.0;;480;OFF TIME LIBUR NASIONAL;2025-01-01;23:00:00;07:00:00;2025-01-02
2025-01-01;C_FL101;1.0;C;3.0;621100679900.0;0;0;0.0;0.0;0.0;;480;;2025-01-01;23:00:00;07:00:00;2025-01-02
2025-01-01;C_FL101;;C;;;0;0;0.0;0.0;0.0;;1920;;;;;
2025-01-01;C_FL101;;;;;10900;267;4318.4;4204.738;113.662;;4675;;;;;
2025-01-02;C_FL101;1.0;A;2.0;621100680316.0;0;10;0.0;-7.8;7.8;SLOTER LARI;0;;2025-01-02;00:00:00;00:00:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100680316.0;3800;65;2964.0;2913.3;50.7;CREASING PECAH;120;;2025-01-02;19:00:00;21:00:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100680316.0;0;0;0.0;0.0;0.0;;17;LAP KLISE (Plate);2025-01-02;20:00:00;20:17:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100680316.0;0;0;0.0;0.0;0.0;;24;SETTING TIME;2025-01-02;19:00:00;19:24:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100681550.0;0;15;0.0;-10.275;10.275;PRINT BLOBOR;0;;2025-01-02;00:00:00;00:00:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100681550.0;0;0;0.0;0.0;0.0;;27;SETTING TIME;2025-01-02;15:00:00;15:27:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100681550.0;0;0;0.0;0.0;0.0;;17;SHEET NYANGKUT/ MACET;2025-01-02;16:00:00;16:17:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100681550.0;6880;135;4712.8;4620.325;92.475;PRINTING BOTAK;240;;2025-01-02;15:00:00;19:00:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100684661.0;0;8;0.0;-3.512;3.512;PRINT BLOBOR;0;;2025-01-02;00:00:00;00:00:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100684661.0;3150;0;1382.85;1382.85;0.0;;120;;2025-01-02;21:00:00;23:00:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100684661.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2025-01-02;22:55:00;23:00:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100684661.0;0;0;0.0;0.0;0.0;;14;SHEET NYANGKUT/ MACET;2025-01-02;22:00:00;22:14:00;2025-01-02
2025-01-02;C_FL101;1.0;A;2.0;621100684661.0;0;0;0.0;0.0;0.0;;27;SETTING TIME;2025-01-02;21:00:00;21:27:00;2025-01-02
2025-01-02;C_FL101;;A;;;13830;233;9059.65;8894.888;164.762;;611;;;;;
2025-01-02;C_FL101;1.0;B;1.0;621100681070.0;0;35;0.0;-14.035;14.035;PRINT BLOBOR;0;;2025-01-02;00:00:00;00:00:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100681070.0;0;0;0.0;0.0;0.0;;17;MOUNTING PLATE (during operati;2025-01-02;08:00:00;08:17:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100681070.0;0;0;0.0;0.0;0.0;;27;SETTING TIME;2025-01-02;07:00:00;07:27:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100681070.0;0;0;0.0;0.0;0.0;;11;REPAIR RINGAN BY OPERATOR;2025-01-02;08:24:00;08:35:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100681070.0;18850;75;7558.85;7528.775;30.075;CREASING PECAH;404;;2025-01-02;07:00:00;13:44:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100683679.0;0;5;0.0;-1.375;1.375;SLOTER LARI;0;;2025-01-02;00:00:00;00:00:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100683679.0;0;0;0.0;0.0;0.0;;15;REPAIR RINGAN BY OPERATOR;2025-01-02;14:20:00;14:35:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100683679.0;0;0;0.0;0.0;0.0;;21;SETTING TIME;2025-01-02;13:44:00;14:05:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100683679.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2025-01-02;14:55:00;15:00:00;2025-01-02
2025-01-02;C_FL101;1.0;B;1.0;621100683679.0;1200;95;330.0;303.875;26.125;PRINTING BOTAK;76;;2025-01-02;13:44:00;15:00:00;2025-01-02
2025-01-02;C_FL101;;B;;;20050;210;7888.85;7817.24;71.61;;576;;;;;
2025-01-02;C_FL101;1.0;C;3.0;621100683379.0;0;0;0.0;0.0;0.0;;24;SETTING TIME;2025-01-02;23:00:00;23:24:00;2025-01-02
2025-01-02;C_FL101;1.0;C;3.0;621100683379.0;0;20;0.0;-24.32;24.32;PRINTING BOTAK;0;;2025-01-03;00:00:00;00:00:00;2025-01-03
2025-01-02;C_FL101;1.0;C;3.0;621100683379.0;3460;0;4207.36;4207.36;0.0;;110;;2025-01-02;23:00:00;00:50:00;2025-01-03
2025-01-02;C_FL101;1.0;C;3.0;621100683379.0;0;0;0.0;0.0;0.0;;15;LIMBAH TINTA BANJIR;2025-01-03;00:00:00;00:15:00;2025-01-03
2025-01-02;C_FL101;1.0;C;3.0;621100684659.0;0;23;0.0;-12.696;12.696;SLOTER LARI;0;;2025-01-03;00:00:00;00:00:00;2025-01-03
2025-01-02;C_FL101;1.0;C;3.0;621100684659.0;2900;127;1600.8;1530.696;70.104;CREASING PECAH;140;;2025-01-03;00:50:00;03:10:00;2025-01-03
2025-01-02;C_FL101;1.0;C;3.0;621100684659.0;0;0;0.0;0.0;0.0;;15;OUTSIDE FACTOR>OTHERS;2025-01-03;02:00:00;02:15:00;2025-01-03
2025-01-02;C_FL101;1.0;C;3.0;621100684659.0;0;0;0.0;0.0;0.0;;27;SETTING TIME;2025-01-03;00:50:00;01:17:00;2025-01-03
2025-01-02;C_FL101;1.0;C;3.0;621100684875.0;0;21;0.0;-7.623;7.623;PRINT LARI;0;;2025-01-03;00:00:00;00:00:00;2025-01-03
