Posting Date;Work Center;Machine;Group;Shift;Prod Order;Confirm Qty;Scrab Qty;Confirm KG;Act Confirm KG;Scrab KG;Scrab Description;Stop Time;Break Time Description;Start.Date;Start.Time;Finis.Time;Finis.Date
45809.0;C_FL101;1.0;A;2.0;621100702096.0;3000;0;1809.0;1809.0;0.0;;60;;45808.0;22:00:00;23:00:00;45808.0
45809.0;C_FL101;1.0;A;2.0;621100710461.0;0;0;0.0;0.0;0.0;;20;SETTING TIME;45808.0;17:30:00;17:50:00;45808.0
45809.0;C_FL101;1.0;A;2.0;621100710461.0;0;0;0.0;0.0;0.0;;19;SHEET NYANGKUT/ MACET;45808.0;18:00:00;18:19:00;45808.0
45809.0;C_FL101;1.0;A;2.0;621100710461.0;0;0;0.0;0.0;0.0;;11;LAP KLISE (Plate);45808.0;19:00:00;19:11:00;45808.0
45809.0;C_FL101;1.0;A;2.0;621100710461.0;10400;50;5470.4;5444.1;26.3;CREASING PECAH;270;;45808.0;17:30:00;22:00:00;45808.0
45809.0;C_FL101;1.0;A;1.0;621200067081.0;0;0;0.0;0.0;0.0;;22;SETTING TIME;45809.0;11:00:00;11:22:00;45809.0
45809.0;C_FL101;1.0;A;1.0;621200067081.0;0;0;0.0;0.0;0.0;;17;SHEET NYANGKUT/ MACET;45809.0;12:00:00;12:17:00;45809.0
45809.0;C_FL101;1.0;A;1.0;621200067081.0;840;70;1772.4;1624.7;147.7;PRINT BLOBOR;120;;45809.0;11:00:00;13:00:00;45809.0
45809.0;C_FL101;1.0;A;1.0;621100710236.0;0;0;0.0;0.0;0.0;;15;SETTING TIME;45809.0;09:00:00;09:15:00;45809.0
45809.0;C_FL101;1.0;A;1.0;621100710236.0;0;0;0.0;0.0;0.0;;19;LAP KLISE (Plate);45809.0;10:00:00;10:19:00;45809.0
45809.0;C_FL101;1.0;A;1.0;621100710236.0;4150;30;2863.5;2842.8;20.7;CREASING PECAH;120;;45809.0;09:00:00;11:00:00;45809.0
45809.0;C_FL101;1.0;A;1.0;621100710248.0;7050;95;2305.35;2274.285;31.065;SLOTER LARI;120;;45809.0;07:00:00;09:00:00;45809.0
45809.0;C_FL101;1.0;A;1.0;621100710248.0;0;0;0.0;0.0;0.0;;15;CHEMICAL PROBLEM>OTHERS;45809.0;08:00:00;08:15:00;45809.0
45809.0;C_FL101;1.0;A;1.0;621100710248.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;45809.0;07:00:00;07:17:00;45809.0
45809.0;C_FL101;1.0;A;2.0;621100710483.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;45808.0;15:00:00;15:17:00;45808.0
