Posting Date;Work Center;Machine;Group;Shift;Prod Order;Confirm Qty;Scrab Qty;Confirm KG;Act Confirm KG;Scrab KG;Scrab Description;Stop Time;Break Time Description;Start.Date;Start.Time;Finis.Time;Finis.Date
2025-05-01;C_FL101;1.0;A;3.0;621100703949.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;2025-04-30;23:00:00;23:17:00;2025-04-30
2025-05-01;C_FL101;1.0;A;3.0;621100703949.0;0;0;0.0;0.0;0.0;;10;LAP KLISE (Plate);2025-04-30;23:20:00;23:30:00;2025-04-30
2025-05-01;C_FL101;1.0;A;3.0;621100703949.0;500;18;252.5;243.41;9.09;SLOTER LARI;50;;2025-04-30;23:00:00;23:50:00;2025-04-30
2025-05-01;C_FL101;1.0;A;3.0;621100701226.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;2025-05-01;00:30:00;00:47:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701226.0;1180;0;870.84;870.84;0.0;;80;;2025-05-01;00:30:00;01:50:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701226.0;0;0;0.0;0.0;0.0;;15;LAP KLISE (Plate);2025-05-01;01:00:00;01:15:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701409.0;0;0;0.0;0.0;0.0;;24;SETTING TIME;2025-04-30;23:50:00;00:14:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701409.0;0;0;0.0;0.0;0.0;;10;TUNGGU TINTA;2025-05-01;00:20:00;00:30:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701409.0;930;36;808.17;776.886;31.284;CREASING PECAH;40;;2025-04-30;23:50:00;00:30:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100702085.0;0;0;0.0;0.0;0.0;;20;SETTING TIME;2025-05-01;23:40:00;00:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100702085.0;0;15;0.0;-4.455;4.455;PRINT BLOBOR;0;;2025-05-02;00:00:00;00:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100702085.0;0;0;0.0;0.0;0.0;;15;TUNGGU AIR;2025-05-02;01:00:00;01:15:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100702085.0;2500;109;742.5;710.127;32.373;SLOTER LARI;110;;2025-05-01;23:40:00;01:30:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100702085.0;0;16;0.0;-4.752;4.752;SLOTER LARI;0;;2025-05-02;00:00:00;00:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100702501.0;0;22;0.0;-24.772;24.772;SLOTER LARI;0;;2025-05-02;00:00:00;00:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100702501.0;1200;87;1351.2;1253.238;97.962;PRINT BLOBOR;60;;2025-05-02;02:30:00;03:30:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100702501.0;0;0;0.0;0.0;0.0;;20;SETTING TIME;2025-05-02;02:30:00;02:50:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100703203.0;0;20;0.0;-6.62;6.62;SLOTER LARI;0;;2025-05-02;00:00:00;00:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100703203.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2025-05-02;06:55:00;07:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100703203.0;2100;0;695.1;695.1;0.0;;120;;2025-05-02;05:00:00;07:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100703203.0;0;0;0.0;0.0;0.0;;15;LAP KLISE (Plate);2025-05-02;06:00:00;06:15:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100703203.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;2025-05-02;05:00:00;05:17:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100704091.0;0;16;0.0;-23.28;23.28;PRINT BLOBOR;0;;2025-05-02;00:00:00;00:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100704091.0;1230;0;1789.65;1789.65;0.0;;60;;2025-05-02;01:30:00;02:30:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100704091.0;0;0;0.0;0.0;0.0;;15;SETTING TIME;2025-05-02;01:30:00;01:45:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100704091.0;0;0;0.0;0.0;0.0;;15;LAP KLISE (Plate);2025-05-02;02:00:00;02:15:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100704725.0;0;15;0.0;-11.295;11.295;SLOTER LARI;0;;2025-05-02;00:00:00;00:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100704725.0;0;0;0.0;0.0;0.0;;14;SETTING TIME;2025-05-02;03:30:00;03:44:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100704725.0;600;5;451.8;448.035;3.765;CREASING PECAH;90;;2025-05-02;03:30:00;05:00:00;2025-05-02
2025-05-01;C_FL101;1.0;A;3.0;621100701919.0;0;0;0.0;0.0;0.0;;24;SETTING TIME;2025-05-01;01:50:00;02:14:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701919.0;0;0;0.0;0.0;0.0;;60;DIECUT UNIT TROUBLE MEKANIK;2025-05-01;03:00:00;04:00:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701919.0;0;0;0.0;0.0;0.0;;15;LAP KLISE (Plate);2025-05-01;05:00:00;05:15:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701919.0;14200;0;2669.6;2669.6;0.0;;310;;2025-05-01;01:50:00;07:00:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100701919.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2025-05-01;06:55:00;07:00:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100704830.0;0;0;0.0;0.0;0.0;;10;SHEET NYANGKUT/ MACET;2025-05-01;23:20:00;23:30:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100704830.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;2025-05-01;23:00:00;23:17:00;2025-05-01
2025-05-01;C_FL101;1.0;A;3.0;621100704830.0;2213;0;1372.06;1372.06;0.0;;40;;2025-05-01;23:00:00;23:40:00;2025-05-01
2025-05-01;C_FL101;;A;;;26653;359;11003.42;10753.772;249.648;;1320;;;;;
2025-05-01;C_FL101;1.0;B;2.0;621100704192.0;0;0;0.0;0.0;0.0;;20;SETTING TIME;2025-04-30;15:00:00;15:20:00;2025-04-30
2025-05-01;C_FL101;1.0;B;2.0;621100704192.0;13000;55;6838.0;6809.07;28.93;SLOTER LARI;180;;2025-04-30;15:00:00;18:00:00;2025-04-30
2025-05-01;C_FL101;1.0;B;2.0;621100704172.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;2025-04-30;18:00:00;18:17:00;2025-04-30
2025-05-01;C_FL101;1.0;B;2.0;621100704172.0;0;0;0.0;0.0;0.0;;5;BUANG SAMPAH;2025-04-30;22:55:00;23:00:00;2025-04-30
2025-05-01;C_FL101;1.0;B;2.0;621100704172.0;7905;0;4158.03;4158.03;0.0;;300;;2025-04-30;18:00:00;23:00:00;2025-04-30
2025-05-01;C_FL101;1.0;B;2.0;621100704172.0;0;0;0.0;0.0;0.0;;19;FEEDER UNIT TROUBLE MEKANIK;2025-04-30;22:00:00;22:19:00;2025-04-30
2025-05-01;C_FL101;1.0;B;2.0;621100704172.0;0;0;0.0;0.0;0.0;;17;CHEMICAL PROBLEM>OTHERS;2025-04-30;21:00:00;21:17:00;2025-04-30
2025-05-01;C_FL101;1.0;B;2.0;621100704172.0;0;0;0.0;0.0;0.0;;17;SHEET NYANGKUT/ MACET;2025-04-30;20:00:00;20:17:00;2025-04-30
