Posting Date;Work Center;Machine;Group;Shift;Prod Order;Confirm Qty;Scrab Qty;Confirm KG;Act Confirm KG;Scrab KG;Scrab Description;Stop Time;Break Time Description;Start.Date;Start.Time;Finis.Time;Finis.Date
2025-09-01;C_FL101;1.0;A;3.0;621100725487.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;2025-08-31;23:00:00;23:17:00;2025-08-31
2025-09-01;C_FL101;1.0;A;3.0;621100725487.0;2000;70;1316.0;1269.94;46.06;SLOTER LARI;50;;2025-08-31;23:00:00;23:50:00;2025-08-31
2025-09-01;C_FL101;1.0;A;3.0;621100725487.0;0;0;0.0;0.0;0.0;;10;LAP KLISE (Plate);2025-08-31;23:20:00;23:30:00;2025-08-31
2025-09-01;C_FL101;1.0;A;3.0;621200067548.0;150;0;222.3;222.3;0.0;;60;;2025-09-01;03:00:00;04:00:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725246.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-09-01;23:00:00;23:16:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725246.0;850;0;447.1;447.1;0.0;;30;;2025-09-01;23:00:00;23:30:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725848.0;0;0;0.0;0.0;0.0;;15;SETTING TIME;2025-09-01;01:20:00;01:35:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725848.0;350;30;617.05;564.16;52.89;CREASING PECAH;40;;2025-09-01;01:20:00;02:00:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725848.0;0;0;0.0;0.0;0.0;;10;LAP KLISE (Plate);2025-09-01;01:50:00;02:00:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725851.0;0;0;0.0;0.0;0.0;;17;SETTING TIME;2025-09-01;02:00:00;02:17:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725851.0;350;20;604.1;569.58;34.52;CREASING PECAH;60;;2025-09-01;02:00:00;03:00:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725865.0;0;0;0.0;0.0;0.0;;16;SETTING TIME;2025-09-01;04:00:00;04:16:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725865.0;400;2;592.8;589.836;2.964;SLOTER LARI;180;;2025-09-01;04:00:00;07:00:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725865.0;0;0;0.0;0.0;0.0;;22;LAP KLISE (Plate);2025-09-01;05:00:00;05:22:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725865.0;0;0;0.0;0.0;0.0;;10;LAP KLISE (Plate);2025-09-01;06:50:00;07:00:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100725865.0;0;0;0.0;0.0;0.0;;16;SHEET NYANGKUT/ MACET;2025-09-01;06:00:00;06:16:00;2025-09-01
2025-09-01;C_FL101;1.0;A;3.0;621100722329.0;0;0;0.0;0.0;0.0;;19;SHEET NYANGKUT/ MACET;2025-09-02;05:00:00;05:19:00;2025-09-02
2025-09-01;C_FL101;1.0;A;3.0;621100722329.0;3500;0;2110.5;2110.5;0.0;;210;;2025-09-02;03:30:00;07:00:00;2025-09-02
2025-09-01;C_FL101;1.0;A;3.0;621100722329.0;0;0;0.0;0.0;0.0;;19;LAP KLISE (Plate);2025-09-02;04:00:00;04:19:00;2025-09-02
2025-09-01;C_FL101;1.0;A;3.0;621100722329.0;0;20;0.0;-12.06;12.06;PRINT BLOBOR;0;;2025-09-02;00:00:00;00:00:00;2025-09-02
