TANGGAL;ISSUE;TEKNISI;ACTION_PLAN;SPARE_PART;DURATION_MINUTES
25/07/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;DEDI;GANTI BEARING IMPRESSION ROLL;YA;30
24/12/2024;PREFEEDER FLEXO 4 ABNORMAL;"MAULANA
AGUS
BUDI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;18
05/04/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;MAULANA;CLEANING & ADJUSTMENT PREFEEDER;YA;34
17/05/2025;FEEDER ELEKTRIK;BUDI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;68
03/04/2025;PREFEEDER FLEXO 4 ABNORMAL;"SAMSUL
ACA";PERBAIKAN PNEUMATIC FRAME LOCK;YA;17
24/08/2025;PRINTING BOTAK;ACA;CLEANING & ADJUSTMENT PREFEEDER;YA;17
26/09/2025;IMPRESSION FEED ROLL F4 ABNORMAL;MAULANA;ADJUSTMENT PRINTING PRESSURE;YA;71
03/03/2025;PHOTOCELL SENSOR ERROR;SAMSUL;GANTI BEARING IMPRESSION ROLL;YA;37
09/09/2025;PRINTING BOTAK;"MAULANA
JOKO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;14
29/01/2025;PHOTOCELL SENSOR ERROR;"SAMSUL
ALIF
FIKRI";CLEANING & ADJUSTMENT PREFEEDER;YA;31
24/09/2024;GEAR BOX FEEDER PROBLEM;FIKRI;GANTI BEARING IMPRESSION ROLL;YA;14
29/12/2024;PHOTOCELL SENSOR ERROR;JOKO;GANTI BEARING IMPRESSION ROLL;TIDAK;14
23/07/2025;PHOTOCELL SENSOR ERROR;PEPEN;GANTI BEARING IMPRESSION ROLL;TIDAK;24
17/12/2024;GEAR BOX FEEDER PROBLEM;DEDI;GANTI OIL GEAR BOX;YA;5
09/07/2025;GEAR BOX FEEDER PROBLEM;BUDI;GANTI OIL GEAR BOX;YA;5
23/11/2024;PRINTING BOTAK;"ACA
AGUS";GANTI OIL GEAR BOX;TIDAK;13
22/12/2024;GEAR BOX FEEDER PROBLEM;FIKRI;PERBAIKAN PNEUMATIC FRAME LOCK;YA;9
17/09/2024;PHOTOCELL SENSOR ERROR;JOKO;GANTI BEARING IMPRESSION ROLL;YA;26
18/12/2024;FEEDER ELEKTRIK;"ALIF
BENJHONSON
AGUS";ADJUSTMENT PRINTING PRESSURE;TIDAK;10
27/07/2025;PRINTING BOTAK;ACA;CLEANING & ADJUSTMENT PREFEEDER;YA;6
17/09/2025;FEEDER ELEKTRIK;"ACA
DEDI";PERBAIKAN WIRING FEEDER;TIDAK;65
26/06/2025;PRINTING BOTAK;BENJHONSON;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;17
11/05/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;MAULANA;CLEANING & ADJUSTMENT PREFEEDER;YA;21
15/08/2025;PRINTING BOTAK;"MAULANA
JOKO";ADJUSTMENT PRINTING PRESSURE;TIDAK;6
28/04/2025;FEEDER ELEKTRIK;BUDI;PERBAIKAN PNEUMATIC FRAME LOCK;YA;13
16/08/2025;FEEDER ELEKTRIK;FIKRI;GANTI OIL GEAR BOX;TIDAK;22
28/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"PEPEN
RIZKI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;8
15/05/2025;PHOTOCELL SENSOR ERROR;BUDI;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;27
25/07/2025;FEEDER ELEKTRIK;"BENJHONSON
PEPEN";GANTI BEARING IMPRESSION ROLL;YA;12
04/06/2025;PHOTOCELL SENSOR ERROR;"INDARYONO
SAMSUL";GANTI BEARING IMPRESSION ROLL;TIDAK;16
10/09/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;FIKRI;GANTI BEARING IMPRESSION ROLL;YA;12
30/09/2024;PREFEEDER FLEXO 4 ABNORMAL;"MAULANA
FIKRI";GANTI OIL GEAR BOX;TIDAK;88
06/10/2024;PHOTOCELL SENSOR ERROR;"FIKRI
PEPEN";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;20
09/06/2025;PREFEEDER FLEXO 4 ABNORMAL;BUDI;PERBAIKAN WIRING FEEDER;TIDAK;9
18/12/2024;FEEDER ELEKTRIK;"DEDI
BENJHONSON
ACA";ADJUSTMENT PRINTING PRESSURE;TIDAK;39
13/04/2025;FEEDER ELEKTRIK;"MAULANA
BENJHONSON";CLEANING & ADJUSTMENT PREFEEDER;YA;8
21/02/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BUDI
BENJHONSON";PERBAIKAN WIRING FEEDER;YA;24
04/09/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"AGUS
INDARYONO
BENJHONSON";PERBAIKAN PNEUMATIC FRAME LOCK;YA;5
17/02/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BENJHONSON
ACA";GANTI OIL GEAR BOX;TIDAK;7
19/12/2024;FEEDER ELEKTRIK;DEDI;PERBAIKAN WIRING FEEDER;TIDAK;23
01/05/2025;PREFEEDER FLEXO 4 ABNORMAL;"FIKRI
JOKO";CLEANING & ADJUSTMENT PREFEEDER;YA;36
20/10/2024;GEAR BOX FEEDER PROBLEM;"ALIF
JOKO";ADJUSTMENT PRINTING PRESSURE;TIDAK;23
09/09/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"AGUS
FIKRI
MAULANA";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;18
08/09/2025;IMPRESSION FEED ROLL F4 ABNORMAL;BENJHONSON;CLEANING & ADJUSTMENT PREFEEDER;YA;16
02/06/2025;PRINTING BOTAK;JOKO;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;6
25/04/2025;PREFEEDER FLEXO 4 ABNORMAL;RIZKI;PERBAIKAN WIRING FEEDER;YA;11
26/09/2024;GEAR BOX FEEDER PROBLEM;"INDARYONO
MAULANA";CLEANING & ADJUSTMENT PREFEEDER;YA;14
28/03/2025;PRINTING BOTAK;"BENJHONSON
JOKO";PERBAIKAN PNEUMATIC FRAME LOCK;YA;47
14/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
RIZKI";GANTI BEARING IMPRESSION ROLL;TIDAK;26
23/08/2025;GEAR BOX FEEDER PROBLEM;"AGUS
DEDI";ADJUSTMENT PRINTING PRESSURE;YA;5
07/12/2024;IMPRESSION FEED ROLL F4 ABNORMAL;INDARYONO;PERBAIKAN WIRING FEEDER;TIDAK;26
02/10/2024;GEAR BOX FEEDER PROBLEM;INDARYONO;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;15
03/05/2025;FEEDER ELEKTRIK;"PEPEN
INDARYONO";PERBAIKAN WIRING FEEDER;YA;12
05/12/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
AGUS";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;33
01/11/2024;FEEDER ELEKTRIK;SAMSUL;PERBAIKAN WIRING FEEDER;YA;46
15/07/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"AGUS
SAMSUL";PERBAIKAN WIRING FEEDER;TIDAK;42
09/02/2025;IMPRESSION FEED ROLL F4 ABNORMAL;AGUS;GANTI OIL GEAR BOX;TIDAK;10
01/01/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"PEPEN
AGUS";GANTI OIL GEAR BOX;TIDAK;16
23/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;INDARYONO;ADJUSTMENT PRINTING PRESSURE;TIDAK;26
16/06/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BUDI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;44
14/01/2025;PREFEEDER FLEXO 4 ABNORMAL;MAULANA;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;14
24/01/2025;PREFEEDER FLEXO 4 ABNORMAL;"BUDI
DEDI";GANTI BEARING IMPRESSION ROLL;TIDAK;17
01/08/2025;FEEDER ELEKTRIK;AGUS;PERBAIKAN WIRING FEEDER;TIDAK;8
06/08/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ACA;PERBAIKAN PNEUMATIC FRAME LOCK;YA;8
16/09/2025;FEEDER ELEKTRIK;ACA;GANTI BEARING IMPRESSION ROLL;TIDAK;38
17/12/2024;GEAR BOX FEEDER PROBLEM;BENJHONSON;GANTI OIL GEAR BOX;TIDAK;59
17/05/2025;PRINTING BOTAK;INDARYONO;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;19
20/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;45
22/11/2024;GEAR BOX FEEDER PROBLEM;"BUDI
DEDI";ADJUSTMENT PRINTING PRESSURE;TIDAK;27
05/09/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;DEDI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;12
19/09/2024;PHOTOCELL SENSOR ERROR;SAMSUL;PERBAIKAN WIRING FEEDER;YA;27
09/04/2025;PREFEEDER FLEXO 4 ABNORMAL;ACA;GANTI BEARING IMPRESSION ROLL;YA;68
03/03/2025;PREFEEDER FLEXO 4 ABNORMAL;"BENJHONSON
AGUS
MAULANA";GANTI BEARING IMPRESSION ROLL;TIDAK;19
28/03/2025;FEEDER ELEKTRIK;"PEPEN
BENJHONSON
FIKRI";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;70
13/09/2024;PREFEEDER FLEXO 4 ABNORMAL;"ALIF
JOKO
AGUS";GANTI OIL GEAR BOX;YA;5
15/01/2025;PREFEEDER FLEXO 4 ABNORMAL;"MAULANA
JOKO
INDARYONO";ADJUSTMENT PRINTING PRESSURE;YA;39
12/12/2024;PHOTOCELL SENSOR ERROR;"ALIF
ACA";CLEANING & ADJUSTMENT PREFEEDER;YA;21
13/09/2024;GEAR BOX FEEDER PROBLEM;JOKO;GANTI BEARING IMPRESSION ROLL;TIDAK;16
06/10/2024;PHOTOCELL SENSOR ERROR;ALIF;GANTI OIL GEAR BOX;TIDAK;22
24/03/2025;GEAR BOX FEEDER PROBLEM;"ALIF
INDARYONO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;5
01/12/2024;FEEDER ELEKTRIK;INDARYONO;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;17
11/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"FIKRI
ALIF
JOKO";PERBAIKAN WIRING FEEDER;TIDAK;27
30/10/2024;PRINTING BOTAK;"BENJHONSON
ACA";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;65
01/09/2024;FEEDER ELEKTRIK;"AGUS
DEDI";GANTI OIL GEAR BOX;YA;13
06/03/2025;PRINTING BOTAK;AGUS;GANTI BEARING IMPRESSION ROLL;TIDAK;10
08/02/2025;GEAR BOX FEEDER PROBLEM;DEDI;GANTI BEARING IMPRESSION ROLL;TIDAK;13
06/02/2025;GEAR BOX FEEDER PROBLEM;"ALIF
JOKO";GANTI OIL GEAR BOX;TIDAK;42
11/06/2025;PREFEEDER FLEXO 4 ABNORMAL;JOKO;GANTI OIL GEAR BOX;TIDAK;26
13/08/2025;GEAR BOX FEEDER PROBLEM;SAMSUL;PERBAIKAN WIRING FEEDER;TIDAK;13
