feature,importance
Scrab Description_CREASING PECAH,0.295603432034245
Scrab Description_PRINTING BOTAK,0.15403783284613168
FMEA_Severity,0.0971461431860777
Break Time Description_FEEDER UNIT TROUBLE ELEKTRIK,0.08238853811946395
Shift_2.0,0.0661157729612058
Break Time Description_FEEDER UNIT TROUBLE MEKANIK,0.05459790281673405
Shift_3.0,0.03287887705229384
Break Time Description_MECHANICAL REPAIR>OTHER,0.026080552515049912
Shift_1.0,0.025240965754940302
Break Time Description_SHOLAT JUMAT,0.02033955394058252
Scrab Description_PRINT LARI,0.020275249335035682
Break Time Description_PRINTING UNIT TROUBLE MEKANIK,0.019339992544017432
Scrab Description_CREASING LARI,0.01525139358181263
Scrab Description__NONE_,0.01503547076317794
Break Time Description__NONE_,0.013087589958744586
Scrab Description_CREASING MIRING,0.012978842395875769
Scrab Description_SLOTER LARI,0.012183715825047238
Scrab Description_PRINT BLOBOR,0.006594937271255042
Break Time Description_SLOTTER UNIT TROUBLE MEKANIK,0.0065513954934730235
Break Time Description_LIMBAH TINTA BANJIR,0.004861863696569228
Break Time Description_LISTRIK PADAM PLN/DSS/COGEN,0.003054288735466658
Break Time Description_TEMPAT (CONVEYER) PENUH,0.0028498028118047673
Break Time Description_PRINTING UNIT TROUBLE ELEKTRIK,0.0023246187012478147
Break Time Description_FAILURE>OTHERS,0.0023076095159007253
Scrab Description_SLOTTER MIRING,0.0021378099224506086
Break Time Description_STACKER TROUBLE ELEKTRIK,0.001590357604122308
Break Time Description_TUNGGU  SPARE PART MEKANIK,0.0010066452399607642
Break Time Description_TUNGGU ANGIN COMPRESSOR,0.0009878070441704466
Scrab Description_SLOTTER PECAH,0.0006543972144800224
Break Time Description_QC APPROVAL,0.0005347632327315487
Break Time Description_OTHERS,0.0003870355221115144
Scrab Description_DIECUT TIDAK PUTUS,0.0002938350292457802
Scrab Description_DIECUT LARI,0.00023813741393174888
Break Time Description_STACKER TROUBLE MEKANIK,0.00021472599523480164
Scrab Description_DIECUT PECAH,0.00016033800765390498
Break Time Description_CONVEYOR BLOWER MACET,0.00013333503705555093
Break Time Description_TUNGGU TINTA,0.00010182246756848931
Break Time Description_GANTI/PASANG PISAU SLOTTER,8.953130454159117e-05
Break Time Description_SHEET NYANGKUT/ MACET,7.014064782693515e-05
Break Time Description_REPAIR RINGAN BY OPERATOR,4.6519045811234925e-05
Break Time Description_SLOTTER UNIT TROUBLE ELEKTRIK,4.270936527481779e-05
Break Time Description_ELECTRICAL REPAIR>OTHER,3.9189409457526045e-05
Break Time Description_MOUNTING PLATE (DURING OPERATI,3.737429879912835e-05
Scrab Description_WARNA TIDAK SESUAI,3.119313880238483e-05
Scrab Description_REJECT SETTING,2.5367687754604186e-05
Break Time Description_CHEMICAL PROBLEM>OTHERS,2.1099909525899198e-05
Scrab Description_OTHERS REJECTED SHEETS,1.4752667975692791e-05
Scrab Description_WARNA LUNTUR,9.188715538751293e-06
Break Time Description_DIECUT ABNORMAL,3.3036311322018465e-06
Break Time Description_TINTA HABIS,2.2785906883782483e-06
