feature,importance
Act Confirm KG,0.32297393296594873
Confirm Qty,0.13037554865021345
Confirm KG,0.11929769853781581
Scrab KG,0.10505002567928268
Scrab Qty,0.10042468945730158
Break Time Description_TIDAK ADA SHIFT,0.07469782677522394
Scrab Description_SLOTER LARI,0.039612544711318566
FMEA_Severity,0.03384524535753808
Scrab Description_PRINT BLOBOR,0.011415144327124756
Break Time Description_SETTING TIME,0.010536673989870574
Scrab Description_PRINT LARI,0.00945204391559835
Break Time Description_BUANG SAMPAH,0.0065942422903180475
Machine,0.006466840915112461
Break Time Description_OFF TIME LIBUR NASIONAL,0.004343432231976833
Scrab Description_PRINTING BOTAK,0.004148681176957317
Scrab Description_CREASING PECAH,0.0034720722949051763
Shift_2.0,0.002548936208679758
Break Time Description_SHOLAT JUMAT,0.002188208054677623
Break Time Description_LAP KLISE (Plate),0.001867936968167462
Break Time Description_SHEET NYANGKUT/ MACET,0.0010419449955323878
Prod Order,0.0008962503389598795
Break Time Description_SLOTTER UNIT TROUBLE MEKANIK,0.0007339380272490895
Break Time Description_FEEDER UNIT TROUBLE MEKANIK,0.0006969635417985783
Break Time Description_REPAIR RINGAN BY OPERATOR,0.0006787757740470775
Shift_3.0,0.0006393579837913756
Shift_1.0,0.0006290574839580364
Break Time Description_MOUNTING PLATE (during operati,0.00039586919028313395
Break Time Description_TEMPAT (CONVEYER) PENUH,0.000323186871392707
HAS_SPARE_PART,0.00031920390556487867
Break Time Description_CHEMICAL PROBLEM>OTHERS,0.00025040811930265985
Break Time Description_PRINTING UNIT TROUBLE MEKANIK,0.00024910137964626473
TEKNISI_SAMSUL,0.00021421753395742938
ACTION_GANTI BEARING IMPRESSION ROLL,0.00020331862606083302
TEKNISI_FIKRI,0.00020257414179781211
Break Time Description_ADJUST TINTA,0.00020134986018243155
TEKNISI_RIZKI,0.00020059530579073748
ACTION_PERBAIKAN WIRING FEEDER,0.00019945341410751804
ACTION_CLEANING ADJUSTMENT PREFEEDER,0.00018925397475770244
TEKNISI_DEDI,0.00018538559324149652
Break Time Description_FEEDER UNIT TROUBLE ELEKTRIK,0.00018466885222704124
ACTION_PERBAIKAN PNEUMATIC FRAME LOCK,0.00017582909594028245
TEKNISI_ALIF,0.000168865520819441
TEKNISI_BENJHONSON,0.00016522502448651467
TEKNISI_INDARYONO,0.00016109644376990586
TEKNISI_JOKO,0.00015364189937129168
ACTION_GANTI OIL GEAR BOX,0.00014584138841744116
TEKNISI_MAULANA,0.00014401868651497905
ACTION_ADJUSTMENT PRINTING PRESSURE,0.00014300153322324978
TEKNISI_ACA,0.00014129546038421276
TEKNISI_PEPEN,0.00014075868151960794
TEKNISI_BUDI,0.00013064923781652224
TEKNISI_AGUS,0.00012264844237359354
Break Time Description_GANTI/PASANG PISAU SLOTTER,8.629108626735844e-05
Scrab Description_OTHERS REJECTED SHEETS,5.6406006146023355e-05
Break Time Description_LIMBAH TINTA BANJIR,4.120842719136177e-05
Scrab Description_SLOTTER MIRING,3.412530652552417e-05
Scrab Description_CREASING LARI,2.494424802064767e-05
Scrab Description_REJECT SETTING,1.755408953194744e-05
Scrab Description_CREASING MIRING,0.0
Scrab Description_DIECUT PECAH,0.0
Scrab Description_DIECUT TIDAK PUTUS,0.0
Break Time Description_BRIEFING,0.0
Scrab Description_WARNA TIDAK SESUAI,0.0
Scrab Description_WARNA LUNTUR,0.0
Scrab Description_SLOTTER PECAH,0.0
Break Time Description_CONVEYOR BLOWER MACET,0.0
Break Time Description_CARI BAHAN SHEETS,0.0
Break Time Description_FAILURE>OTHERS,0.0
Break Time Description_MECHANICAL REPAIR>OTHER,0.0
Break Time Description_OVERHAUL,0.0
Break Time Description_OTHERS,0.0
Break Time Description_LISTRIK PADAM PLN/DSS/COGEN,0.0
Break Time Description_PRINTING UNIT TROUBLE ELEKTRIK,0.0
Break Time Description_SLOTTER UNIT TROUBLE ELEKTRIK,0.0
Break Time Description_QC APPROVAL,0.0
Break Time Description_STACKER TROUBLE MEKANIK,0.0
Break Time Description_STACKER TROUBLE ELEKTRIK,0.0
